date,location_key,new_deceased
2020-04-25,BE,152
2020-05-05,BE,77
2020-11-21,BE,135
2021-05-04,BE,38
2021-05-18,BE,25
2021-07-08,BE,2
2021-07-28,BE,6
2021-10-05,BE,13
2021-10-16,BE,10
2021-11-05,BE,30
2022-01-28,BE,27
2020-05-01,BG,3
2020-05-06,BG,0
2020-06-25,BG,4
2020-10-31,BG,19
2021-05-31,BG,26
2020-10-22,BH,3
2020-12-13,BH,0
2021-01-09,BH,1
2021-03-02,BH,5
2021-04-05,BH,4
2021-05-01,BH,3
2021-06-10,BH,8
2020-12-02,BO,9
2021-04-22,BO,27
2022-01-11,BO,57
2020-06-04,BR,0
2020-06-16,BR,0
2020-08-11,BR,1274
2021-03-15,BR,0
2021-06-26,BR,0
2020-07-10,IN,551
2021-04-21,IN,2263
2021-01-31,IQ,10
2021-06-30,IQ,30
2021-07-07,IQ,31
2022-02-07,IQ,27
2020-07-13,IR,179
2020-08-11,IR,188
2021-04-04,IR,172
2021-11-24,IR,96
2022-03-01,IR,203
2021-09-23,IS,0
2022-03-29,IS,1
2020-07-11,IT,7
2020-12-23,IT,553
2021-07-07,IT,14
2021-10-15,IT,42
2022-02-16,IT,278
2020-12-05,JM,4
2021-11-06,JM,1
2022-03-22,JM,0
2021-02-20,JO,11
2021-05-25,JO,12
2020-06-13,JP,1
2021-01-09,JP,64
2021-06-22,JP,42
2021-10-14,JP,31
2022-01-02,JP,2
2020-08-08,KR,0
2021-09-17,KR,10
2021-11-11,KR,32
2020-05-31,KW,8
2020-06-12,KW,4
2020-09-12,KW,2
2020-10-05,KW,4
2020-10-21,KW,9
2021-01-08,KW,2
2021-01-14,KW,1
2021-03-29,KW,10
2021-04-06,KW,6
2021-05-16,KW,3
2021-12-08,KW,0
2022-02-12,KW,1
2020-07-07,KZ,32
2020-08-11,KZ,0
2020-12-16,KZ,0
2021-03-03,KZ,0
2021-05-01,KZ,197
2021-07-09,LI,0
2021-08-03,LI,0
2021-09-05,LI,0
2021-11-02,LI,0
2022-01-11,LI,0
2022-03-15,LI,0
2020-12-19,LK,5
2021-03-05,LK,9
2021-03-09,LK,9
2021-11-04,LK,20
2022-01-21,LK,15
2020-06-06,LT,2
2020-08-15,LT,0
2020-09-10,LT,0
2021-01-20,LT,36
2021-01-21,LT,34
2021-02-04,LT,17
2021-07-14,LT,0
2021-10-05,LT,20
2022-03-16,LT,7
2021-01-26,LU,4
2021-06-05,LU,0
2021-08-29,LU,0
2021-11-17,LU,2
2021-12-02,LU,1
2021-12-18,LU,3
2022-01-12,LU,1
2020-10-06,LV,1
2021-08-19,LV,1
2021-10-17,LV,7
2021-12-16,LV,11
2020-12-14,LY,5
2021-02-21,LY,2
2021-02-27,LY,5
2021-12-05,LY,6
2021-02-09,MA,12
2021-05-08,MA,8
2021-05-15,MA,0
2021-07-01,MA,9
2021-10-21,MA,7
2021-02-20,MD,20
2021-10-24,MD,38
2021-12-24,MD,16
2022-01-15,MD,7
2020-08-16,MG,1
2021-04-04,MG,5
2020-04-15,MK,1
2020-06-25,MK,3
2020-11-02,MK,24
2021-02-26,MK,7
2021-07-17,MM,281
2021-08-24,MM,113
2022-03-28,MN,0
2021-04-28,MT,1
2021-10-12,MT,0
2022-01-19,MT,6
2021-04-22,MV,0
2021-06-01,MV,2
2021-10-05,MV,0
2021-12-28,MV,0
2022-01-20,MV,0
2020-09-03,MW,0
2020-04-08,MX,49
2020-06-18,MX,679
2020-07-04,MX,738
2021-03-17,MX,398
2021-04-24,MX,208
2021-05-02,MX,188
2021-06-05,MX,100
2021-08-06,MX,614
2021-08-13,MX,695
2022-01-02,MX,78
2021-04-21,MY,11
2021-11-01,MY,63
2022-01-02,MY,19
2022-02-04,MY,11
2022-03-10,MY,70
2022-03-24,MY,64
2022-03-27,MY,38
2021-04-14,MZ,0
2021-04-20,NA,4
2022-01-08,NA,0
2020-04-28,NG,4
2021-01-08,NG,0
2020-10-15,NL,29
2020-11-13,NL,54
2021-03-02,NL,65
2021-03-10,NL,31
2021-03-22,NL,15
2021-08-03,NL,3
2021-09-14,NL,10
2021-10-25,NL,6
2022-01-04,NL,19
2022-03-12,NL,11
2021-02-12,NO,0
2021-10-03,NO,0
2022-02-14,NO,0
2020-08-29,NP,9
2020-12-08,NP,19
2021-01-25,NP,3
2021-03-14,NP,0
2021-07-11,NP,12
2021-07-28,NP,27
2020-06-13,PA,8
2020-12-06,PA,20
2021-02-27,PA,11
2021-04-03,PA,5
2020-04-21,PH,16
2020-07-20,PH,59
2021-02-17,PH,33
2021-03-19,PH,81
2021-06-20,PH,91
2021-12-14,PH,10
2020-06-15,PK,97
2020-06-21,PK,119
2020-07-05,PK,93
2020-09-19,PK,1
2021-01-02,PK,53
2021-05-19,PK,131
2021-11-30,PK,9
2021-12-06,PK,7
2022-01-20,PK,23
2021-04-25,PL,22
2021-05-20,PL,191
2020-08-05,PR,12
2020-10-14,PR,1
2020-11-08,PR,10
2021-02-20,PR,22
2021-03-01,PR,3
2021-10-29,PR,3
2022-01-05,PR,14
2022-03-23,PR,1
2020-11-02,PS,8
2021-05-08,PS,7
2022-02-19,PS,15
2022-03-04,PS,7
2020-04-25,PT,26
2021-03-30,PT,3
2021-01-16,PY,16
2021-08-26,PY,20
2021-10-09,PY,0
2022-01-20,QA,0
2020-07-27,RS,8
2020-08-04,RS,9
2020-08-18,RS,3
2021-02-25,RS,16
2021-06-19,RS,4
2021-07-08,RS,3
2021-07-28,RS,2
2021-11-09,RS,61
2022-01-04,RS,25
2022-03-30,RS,11
2020-06-19,RU,161
2020-07-10,RU,188
2020-08-13,RU,114
2021-03-02,RU,452
2021-05-18,RU,390
2021-06-02,RU,393
2021-07-14,RU,791
2020-11-23,RW,0
2021-02-21,RW,3
2021-06-07,RW,0
2021-08-28,RW,5
2021-10-18,RW,1
2020-04-10,SA,5
2020-04-16,SA,4
2020-05-08,SA,10
2021-06-25,SA,17
2021-12-09,SA,1
2022-01-04,SA,3
2022-02-11,SA,2
2022-02-14,SA,1
2022-03-11,SA,1
2020-07-11,SE,10
2021-02-08,SE,39
2021-09-03,SE,3
2021-10-10,SE,5
2021-10-30,SE,2
2021-12-22,SE,4
2022-01-01,SE,11
2022-01-28,SE,51
2022-02-15,SE,51
2022-02-23,SE,38
2020-04-29,SI,2
2021-01-03,SI,35
2021-02-02,SI,23
2021-02-08,SI,19
2022-02-03,SI,22
2022-03-11,SI,12
2022-03-22,SI,2
2021-01-10,SK,95
2021-03-15,SK,69
2021-04-05,SK,87
2021-04-23,SK,37
2021-07-29,SK,4
2021-08-19,SK,0
2021-08-21,SK,0
2021-09-17,SK,0
2021-10-30,SK,11
2021-11-14,SK,46
2021-12-13,SK,105
2022-01-18,SK,61
2021-02-05,SL,0
2021-03-09,SN,10
2021-04-04,SN,0
2021-09-12,SN,2
2021-10-15,SN,0
2021-11-12,SN,0
2021-12-16,SN,0
2022-02-12,SN,1
2020-08-12,SR,0
2020-10-30,SR,0
2020-11-08,SR,0
2020-11-22,SR,0
2021-05-05,SR,0
2021-06-17,SR,9
2021-02-14,SS,0
2021-04-24,SS,0
2020-07-20,SV,8
2020-07-25,SV,10
2021-01-25,SV,11
2021-02-06,SV,8
2021-12-06,SV,3
2021-12-09,SV,1
2021-06-08,TG,1
2021-10-21,TG,0
2021-11-21,TG,0
2022-01-15,TG,0
2022-03-04,TG,0
2020-06-02,TH,0
2020-10-15,TH,0
2020-10-26,TH,0
2021-08-08,TH,138
2021-08-09,TH,149
2021-10-08,TH,116
2022-01-02,TH,12
2022-01-04,TH,12
2022-01-28,TH,28
2021-04-21,TN,70
2020-05-24,TR,32
2020-10-22,TR,71
2021-01-09,TR,181
2021-09-09,TR,257
2021-01-26,TT,0
2021-03-28,TT,0
2021-09-22,TT,6
2021-10-08,TT,6
2020-04-28,UA,19
2020-12-16,UA,264
2021-08-25,UA,20
2021-10-18,UA,177
2021-04-08,UG,0
2021-07-01,UG,799
2020-03-13,US,10
2021-06-17,US,274
2020-08-22,UY,0
2020-09-16,UY,0
2020-11-27,UY,0
2020-12-23,UY,8
2021-08-02,UY,6
2021-09-30,UY,1
2021-10-21,UY,0
2022-03-03,UY,9
2022-02-12,VC,0
2021-08-21,VI,0
2021-08-27,VI,0
2021-09-05,VI,0
2021-10-18,VI,0
2020-06-06,ZA,102
2020-08-22,ZA,72
2021-04-11,ZA,34
2021-06-08,ZA,127
2021-07-22,ZA,450
2021-08-15,ZA,299
2022-02-01,ZA,175
2020-07-19,ZM,2
2020-09-29,ZM,0
2020-12-24,ZM,0
2021-01-24,ZM,21
2021-02-26,ZM,15
2021-03-10,ZM,8
2021-06-16,ZM,33
2021-08-19,ZM,5
2021-09-13,ZM,2
2021-09-28,ZM,1
2020-10-11,ZW,0
2020-10-20,ZW,3
2020-11-04,ZW,0
2020-12-22,ZW,4
2021-02-14,ZW,10
2021-02-18,ZW,10
2021-07-28,ZW,81
2020-05-08,BY,10
2021-08-31,BY,11
2020-08-24,CA,10
2020-05-23,CD,0
2020-06-02,CD,3
2021-04-19,CD,3
2021-06-22,CD,3
2020-06-26,CH,0
2020-12-14,CH,98
2020-12-31,CH,82
2021-01-14,CH,49
2021-08-23,CH,6
2021-10-26,CH,5
2022-01-23,CH,9
2022-01-30,CH,22
2022-03-29,CH,9
2020-06-26,CI,2
2020-07-30,CI,2
2020-09-01,CI,0
2020-12-10,CI,0
2021-02-20,CI,1
2021-10-17,CI,3
2020-05-18,CL,28
2021-06-07,CL,121
2021-08-04,CL,31
2021-09-15,CL,8
2021-11-17,CL,11
2021-11-28,CL,31
2021-12-11,CL,8
2022-01-07,CL,25
2020-09-27,CO,200
2020-10-10,CO,202
2021-04-15,CO,449
2021-09-12,CO,79
2021-10-11,CO,81
2021-11-02,CO,58
2021-11-04,CO,60
2022-03-18,CO,29
2022-03-30,CO,12
2020-08-29,CR,11
2021-05-28,CR,33
2021-08-17,CR,14
2021-10-26,CR,14
2020-07-02,CU,0
2020-08-18,CU,0
2020-11-02,CU,0
2020-12-02,CU,0
2020-12-18,CU,0
2021-05-28,CU,10
2020-08-12,CV,0
2020-09-07,CV,0
2021-09-06,CV,1
2020-11-12,CY,4
2021-09-27,CY,0
2021-10-01,CY,0
2021-12-27,CY,0
2021-12-31,CY,0
2020-06-23,CZ,0
2020-11-13,CZ,181
2021-04-25,CZ,53
2021-06-01,CZ,7
2022-02-23,CZ,40
2020-10-19,DK,1
2020-12-03,DK,11
2020-12-21,DK,19
2021-08-07,DK,1
2021-08-12,DK,3
2021-12-17,DK,14
2021-12-26,DK,11
2020-05-21,DO,8
2020-08-03,DO,30
2020-08-16,DO,28
2020-11-22,DO,1
2020-12-21,DO,13
2022-02-06,DO,4
2020-06-15,EC,41
2021-02-05,EC,22
2021-05-17,EC,91
2021-05-19,EC,43
2021-07-05,EC,13
2021-08-11,EC,33
2020-05-10,EE,1
2020-08-05,EE,0
2020-10-08,EE,1
2021-01-14,EE,9
2021-07-20,EE,0
2022-03-03,EE,0
2020-12-24,ET,15
2021-03-30,ET,24
2021-05-05,ET,27
2021-09-23,ET,40
2021-11-28,ET,10
2020-05-02,FI,3
2020-09-04,FI,0
2020-10-06,FI,2
2021-04-01,FI,2
2021-10-23,FI,2
2021-11-01,FI,3
2021-11-13,FI,6
2021-11-21,FI,10
2022-01-11,FI,20
2022-01-21,FI,13
2022-03-04,FI,8
2021-07-15,FJ,5
2020-06-03,FR,81
2020-06-06,FR,31
2020-10-04,FR,32
2020-10-18,FR,85
2021-07-20,FR,33
2020-05-20,GB,268
2020-05-31,GB,127
2020-06-29,GB,39
2020-08-26,GB,11
2020-12-19,GB,489
2021-02-18,GB,418
2021-04-15,GB,22
2021-05-02,GB,14
2021-10-07,GB,123
2022-01-29,GB,260
2020-07-26,AE,1
2020-09-11,AE,1
2021-04-19,AE,3
2021-05-18,AE,2
2021-06-25,AE,10
2022-02-02,AE,2
2022-03-06,AE,1
2020-09-16,AL,4
2020-11-25,AL,10
2021-01-21,AL,7
2021-01-29,AL,11
2021-05-21,AL,1
2021-09-29,AL,13
2021-10-11,AL,6
2020-07-17,AM,10
2020-09-11,AM,5
2020-10-17,AM,10
2021-02-04,AM,5
2021-04-29,AM,20
2021-05-28,AM,4
2021-06-12,AM,4
2021-10-02,AM,25
2020-08-31,AR,303
2020-10-25,AR,330
2021-02-12,AR,122
2021-03-10,AR,124
2021-03-29,AR,160
2021-04-05,AR,190
2021-06-14,AR,588
2022-01-26,AR,298
2022-03-24,AR,3
2020-05-17,AT,1
2020-05-31,AT,0
2020-07-23,AT,1
2020-12-06,AT,94
2021-06-22,AT,0
2021-08-02,AT,2
2021-10-30,AT,18
2022-01-17,AT,8
2022-03-08,AT,26
2021-02-24,GE,10
2021-03-15,GE,7
2021-08-07,GE,44
2020-05-26,GH,2
2020-07-01,GH,0
2020-07-12,GH,0
2020-08-17,GH,9
2020-08-30,GH,0
2020-09-16,GH,0
2020-05-22,GR,2
2021-09-03,GR,30
2021-02-22,GT,9
2021-10-09,GT,41
2021-11-20,GT,3
2022-02-22,GT,39
2020-09-20,GU,1
2020-12-22,GU,0
2021-05-18,GU,0
2021-05-23,GU,0
2021-08-09,GU,0
2021-12-11,GU,0
2022-01-31,GU,4
2020-07-31,HR,0
2020-08-22,HR,1
2020-09-12,HR,6
2020-10-10,HR,7
2021-03-06,HR,5
2021-09-08,HR,10
2021-10-10,HR,6
2020-09-17,HU,6
2021-06-02,ID,185
2021-06-14,ID,237
2021-07-18,ID,1093
2021-10-10,ID,39
2021-11-09,ID,21
2022-01-03,ID,5
2022-02-16,ID,167
2020-09-07,IE,1
2021-03-31,IE,10
2021-06-16,IE,1
2021-07-07,IE,0
2021-10-01,IE,9
2020-04-20,IL,10
2020-08-23,IL,16
2021-06-03,IL,0
2021-06-13,IL,0
2020-04-28,AU,5
2021-01-01,AU,0
2021-09-06,AU,5
2021-10-21,AU,13
2021-12-19,AU,4
2021-06-21,AZ,0
2021-08-06,AZ,5
2022-02-26,AZ,22
2020-05-31,BA,1
2020-12-06,BA,60
2021-06-02,BA,29
2020-04-19,BD,9
2020-05-30,BD,22
2021-12-25,BD,1
2022-01-19,BD,12
2020-04-27,BE,113
2020-04-29,BE,91
2020-05-06,BE,68
2020-12-29,BE,74
2021-01-08,BE,52
2021-01-25,BE,53
2021-01-31,BE,40
2021-02-01,BE,52
2021-04-25,BE,44
2021-05-29,BE,18
2021-06-18,BE,6
2020-10-29,BG,29
2021-03-27,BG,60
2021-06-02,BG,45
2021-07-11,BG,4
2021-01-15,BH,1
2021-02-25,BH,3
2021-05-08,BH,7
2021-05-20,BH,14
2021-07-14,BH,1
2020-07-17,BO,65
2020-11-05,BO,10
2021-04-15,BO,84
2021-05-23,BO,55
2021-09-07,BO,15
2021-12-14,BO,25
2021-12-22,BO,16
2020-06-28,BR,552
2020-07-25,BR,0
2020-11-23,BR,302
2021-07-24,BR,1108
2021-07-26,BR,578
2020-12-30,IN,256
2021-04-12,IN,1027
2021-05-08,IN,3754
2021-08-15,IN,437
2021-12-30,IN,406
2020-08-01,IQ,63
2020-08-12,IQ,53
2020-09-13,IQ,72
2021-07-12,IQ,38
2021-07-25,IQ,60
2020-07-19,IR,217
2021-02-01,IR,72
2021-08-23,IR,709
2021-09-13,IR,408
2021-09-14,IR,452
2021-11-22,IS,0
2021-11-26,IS,0
2020-05-12,IT,172
2020-05-20,IT,161
2020-06-17,IT,43
2020-09-17,IT,13
2021-02-22,IT,274
2021-06-26,IT,40
2020-10-30,JM,1
2021-08-24,JM,14
2022-02-06,JM,4
2021-03-11,JO,55
2021-03-13,JO,61
2021-05-29,JO,9
2020-06-29,JP,0
2020-08-11,JP,7
2020-09-04,JP,19
2020-10-25,JP,7
2020-12-08,JP,38
2021-03-05,JP,59
2021-07-23,JP,9
2021-09-29,JP,54
2021-11-22,JP,2
2020-06-02,KE,3
2020-09-05,KE,3
2020-03-30,KR,3
2020-12-12,KR,7
2021-06-18,KR,5
2021-06-23,KR,1
2021-10-01,KR,3
2022-02-28,KR,96
2020-11-06,KW,4
2021-02-09,KW,5
2021-02-23,KW,5
2021-05-24,KW,5
2021-07-22,KW,9
2021-09-03,KW,1
2021-12-21,KW,0
2021-12-30,KW,0
2022-01-01,KW,0
2020-08-06,KZ,0
2020-08-19,KZ,0
2020-08-21,KZ,0
2020-09-02,KZ,0
2020-09-14,KZ,0
2020-09-27,KZ,0
2020-10-27,KZ,0
2021-11-21,LA,1
2021-01-11,LI,0
2021-04-16,LI,0
2021-05-29,LI,0
2021-07-27,LI,0
2021-10-28,LI,0
2021-11-13,LI,0
2022-02-24,LI,0
2020-11-06,LK,1
2021-07-06,LK,40
2021-09-09,LK,157
2020-08-17,LT,0
2020-08-25,LT,0
2020-09-24,LT,0
2020-10-11,LT,1
2021-02-11,LT,17
2021-07-19,LT,1
2022-02-16,LT,8
2020-11-01,LU,3
2021-02-17,LU,4
2021-04-17,LU,0
2021-08-03,LU,0
2021-12-04,LU,1
2021-12-17,LU,1
2021-12-21,LU,1
2022-02-09,LU,2
2020-10-20,LV,0
2021-01-21,LV,19
2021-02-16,LV,22
2021-02-18,LV,12
2021-05-02,LV,10
2021-06-29,LV,5
2021-07-29,LV,2
2021-08-17,LV,1
2021-11-14,LV,3
2022-02-09,LV,9
2020-07-10,LY,0
2021-02-26,LY,0
2021-06-09,LY,3
2020-04-06,MA,7
2020-06-06,MA,0
2020-08-19,MA,32
2020-10-08,MA,44
2020-11-03,MA,82
2020-11-27,MA,50
2021-01-07,MA,40
2021-01-06,MD,18
2021-04-21,MD,25
2021-06-25,MD,1
2021-10-12,MD,29
2021-11-14,MD,54
2021-12-29,MD,23
2020-05-03,MK,1
2020-09-27,MK,4
2021-01-30,MK,7
2021-02-05,MK,8
2021-04-10,MK,46
2020-10-11,MM,18
2021-09-13,MM,91
2021-12-01,MN,3
2020-10-24,MT,2
2021-02-12,MT,2
2021-03-11,MT,3
2021-03-26,MT,2
2022-01-20,MT,1
2020-10-04,MV,0
2021-04-23,MV,0
2021-06-03,MV,5
2020-09-07,MX,491
2021-02-19,MX,715
2021-08-25,MX,735
2021-09-01,MX,679
2021-09-23,MX,422
2022-01-09,MX,116
2022-02-04,MX,460
2022-03-07,MX,81
2020-03-28,MY,6
2020-06-23,MY,0
2020-06-29,MY,0
2021-07-19,MY,129
2021-09-18,MY,324
2021-09-28,MY,240
2022-01-30,MY,8
2022-02-05,MY,14
2022-02-21,MY,43
2021-02-11,MZ,0
2021-03-19,MZ,0
2021-08-08,MZ,15
2021-08-12,MZ,19
2021-08-14,MZ,9
2020-10-24,NA,0
2020-10-26,NA,0
2020-11-23,NA,1
2021-01-17,NA,5
2021-02-26,NA,2
2021-06-20,NA,27
2021-07-15,NA,30
2021-08-10,NA,8
2021-09-02,NA,0
2021-11-15,NA,0
2020-05-04,NG,5
2020-10-14,NG,0
2020-11-08,NL,44
2021-02-24,NL,63
2021-02-27,NL,40
2021-06-25,NL,5
2021-07-21,NL,3
2021-10-18,NL,2
2021-10-21,NL,7
2021-12-22,NL,47
2020-05-15,NO,0
2020-06-29,NO,0
2020-07-14,NO,0
2020-10-04,NO,0
2020-12-18,NO,0
2020-12-22,NO,0
2021-03-20,NO,0
2021-03-29,NO,4
2021-06-06,NO,0
2021-07-18,NO,0
2020-07-03,NP,0
2020-08-02,NP,1
2020-08-22,NP,8
2021-02-20,NP,0
2021-09-23,NP,6
2021-11-02,NP,2
2022-01-06,NP,0
2020-08-01,PA,28
2020-09-17,PA,15
2020-09-23,PA,6
2020-09-26,PA,12
2020-10-13,PA,9
2021-08-15,PA,4
2022-01-27,PA,11
2022-02-13,PA,12
2020-07-25,PH,51
2020-07-28,PH,67
2020-08-07,PH,75
2020-09-29,PH,59
2020-12-10,PH,23
2021-03-27,PH,87
2021-04-10,PH,134
2021-05-04,PH,134
2021-05-18,PH,114
2021-08-17,PH,156
2021-11-25,PH,193
2020-07-02,PK,78
2020-08-12,PK,17
2020-08-25,PK,9
2021-01-20,PK,54
2021-03-03,PK,64
2021-04-12,PK,118
2021-07-26,PK,39
2021-10-16,PK,17
2021-07-27,PL,3
2022-01-20,PL,248
2020-08-18,PR,10
2020-09-01,PR,8
2020-11-20,PR,21
2021-01-01,PR,5
2021-01-31,PR,7
2021-05-30,PR,1
2021-08-22,PR,4
2021-11-21,PR,1
2020-08-29,PS,5
2020-09-10,PS,8
2020-09-27,PS,10
2020-10-02,PS,11
2021-02-02,PS,10
2021-04-28,PS,25
2021-06-18,PS,2
2021-08-02,PS,0
2020-08-04,PT,1
2020-09-08,PT,4
2020-09-28,PT,6
2022-03-27,PT,17
2020-07-29,PY,1
2020-08-19,PY,4
2020-08-29,PY,14
2021-02-19,PY,18
2021-05-16,PY,62
2021-09-21,PY,4
2021-09-22,PY,2
2021-10-22,PY,0
2021-07-23,QA,0
2021-12-20,QA,0
2022-03-16,QA,0
2020-05-20,RS,2
2020-06-30,RS,4
2020-07-24,RS,8
2020-08-27,RS,2
2020-09-13,RS,0
2020-10-11,RS,2
2021-02-04,RS,14
2021-06-14,RS,6
2021-07-09,RS,3
2021-12-26,RS,27
2020-09-15,RU,132
2021-01-19,RU,597
2021-05-17,RU,364
2021-06-10,RW,0
2021-07-13,RW,9
2020-09-02,SA,26
2020-12-05,SA,11
2021-07-18,SA,14
2021-09-26,SA,5
2021-10-10,SA,3
2021-11-07,SA,1
2020-09-30,SE,4
2021-06-28,SE,2
2021-07-05,SE,0
2021-10-15,SE,1
2022-02-11,SG,8
2020-09-23,SI,2
2020-09-28,SI,0
2021-02-23,SI,10
2021-03-30,SI,7
2021-05-11,SI,2
2021-11-13,SI,21
2021-12-04,SI,13
2022-03-23,SI,6
2020-12-20,SK,0
2020-12-26,SK,106
2021-02-23,SK,84
2021-08-22,SK,0
2021-08-25,SK,1
2021-09-27,SK,14
2021-11-12,SK,52
2021-02-11,SL,0
2021-03-04,SL,0
2020-12-27,SN,2
2021-01-24,SN,7
2021-03-20,SN,6
2021-04-21,SN,1
2021-04-22,SN,0
2022-01-29,SN,3
2021-05-02,SR,1
2021-05-10,SR,3
2021-08-28,SR,5
2021-12-29,SR,1
2020-11-26,SS,1
2021-02-24,SS,0
2020-05-29,SV,2
2021-03-28,SV,5
2021-11-14,SV,3
2021-03-03,TG,3
2021-04-28,TG,1
2021-06-13,TG,0
2021-06-16,TG,0
2021-10-23,TG,0
2020-10-10,TH,0
2020-10-24,TH,0
2020-12-15,TH,0
2021-03-28,TH,0
2021-08-17,TH,239
2021-12-18,TH,28
2022-02-28,TH,42
2020-04-19,TR,127
2020-06-17,TR,19
2020-07-07,TR,19
2020-08-14,TR,22
2020-09-21,TR,68
2020-09-27,TR,68
2020-12-06,TR,195
2021-02-06,TR,108
2021-06-26,TR,51
2021-10-03,TR,194
2021-11-03,TR,246
2022-02-24,TR,281
2021-02-09,TT,1
2021-06-05,TT,8
2021-08-20,TT,7
2021-10-28,TT,10
2022-01-08,TT,0
2022-02-12,TT,12
2022-03-08,TT,2
2021-08-11,TW,1
2021-11-20,TW,0
2021-12-27,TW,0
2020-08-05,UA,24
2020-08-26,UA,36
2021-02-23,UA,153
2021-05-02,UA,160
2022-01-04,UA,135
2020-10-15,UG,0
2021-02-27,UG,0
2021-03-15,UG,0
2021-06-15,UG,34
2021-07-25,UG,11
2020-04-07,US,1348
2020-11-11,US,1512
2020-12-14,US,1982
2021-03-14,US,586
2021-03-15,US,632
2021-05-18,US,583
2021-08-22,US,881
2022-01-28,US,3459
2020-08-11,UY,0
2020-09-23,UY,1
2021-01-12,UY,7
2021-07-24,UY,8
2021-11-08,VC,0
2021-09-02,VI,1
2021-09-21,VI,2
2021-11-01,VI,0
2022-01-16,VI,0
2022-01-24,VI,0
2022-01-25,VI,1
2022-02-03,VI,0
2020-10-24,ZA,5
